,question,answer0,answer1,docs
0,Жилищные услуги,Жилищные услуги,Оформление квартиры в собственность,https://mfc-spravka.ru/oformlenie-kvartiry-v-sobstvennost-v-mfc.html
1,Жилищные услуги,Жилищные услуги,Согласование перепланировки,https://mfc-spravka.ru/kak-uzakonit-pereplanirovku-cherez-mfc.html
2,Жилищные услуги,Жилищные услуги,Приватизация квартиры,https://mfc-spravka.ru/privatizaciya-kvartiry-cherez-mfc.html
3,Жилищные услуги,Жилищные услуги,Оформление купли-продажи квартиры,https://mfc-spravka.ru/kuplya-prodazha-kvartiry-cherez-mfc.html
4,Жилищные услуги,Жилищные услуги,Дарственная на квартиру,https://mfc-spravka.ru/kak-oformit-darstvennuyu-na-kvartiru-cherez-mfc.html
5,Жилищные услуги,Жилищные услуги,Снятие обременения по ипотеке,https://mfc-spravka.ru/snyatie-obremeneniya-s-kvartiry-po-ipoteke-v-mfc.html
6,Жилищные услуги,Жилищные услуги,Субсидия на оплату ЖКХ,https://mfc-spravka.ru/kak-oformit-subsidiyu-na-kommunalnye-uslugi-cherez-mfc.html
7,Жилищные услуги,Жилищные услуги,Технический паспорт на квартиру,https://mfc-spravka.ru/texnicheskij-pasport-na-kvartiru-cherez-mfc.html
8,Жилищные услуги,Жилищные услуги,Поэтажный план и экспликация квартиры,https://mfc-spravka.ru/poetazhnyj-plan-kvartiry-i-eksplikaciya-v-mfc.html
9,Жилищные услуги,Жилищные услуги,Кадастровый паспорт,https://mfc-spravka.ru/kadastrovyj-pasport-v-mfc.html
10,Жилищные услуги,Жилищные услуги,Купля-продажа гаража,https://mfc-spravka.ru/kuplya-prodazha-garazha-cherez-mfc.html
11,Жилищные услуги,Жилищные услуги,Оформление машино-места,https://mfc-spravka.ru/oformlenie-mashino-mesta-v-sobstvennost-v-mfc.html
12,Жилищные услуги,Жилищные услуги,Регистрация договора аренды,https://mfc-spravka.ru/registraciya-dogovora-arendy-v-mfc.html
13,Жилищные услуги,Жилищные услуги,Разрешение на строительство,https://mfc-spravka.ru/razreshenie-na-stroitelstvo-cherez-mfc.html
14,Жилищные услуги,Жилищные услуги,Ввод дома в эксплуатацию,https://mfc-spravka.ru/vvod-doma-v-ekspluataciyu-cherez-mfc.html
15,Справки и выписки,Справки и выписки,Выписка из домовой книги,https://mfc-spravka.ru/vypiska-iz-domovoj-knigi-cherez-mfc.html
16,Справки и выписки,Справки и выписки,Выписка из ЕГРН,https://mfc-spravka.ru/kak-poluchit-vypisku-iz-egrn-cherez-mfc.html
17,Справки и выписки,Справки и выписки,Выписка из ЕГРП,https://mfc-spravka.ru/vypiska-iz-egrp-v-mfc.html
18,Справки и выписки,Справки и выписки,Выписка из ЕГРЮЛ,https://mfc-spravka.ru/vypiska-iz-egryul-v-mfc.html
19,Справки и выписки,Справки и выписки,Единый жилищный документ,https://mfc-spravka.ru/edinyj-zhilishhnyj-dokument-v-mfc.html
20,Справки и выписки,Справки и выписки,Справка по форме № 7,https://mfc-spravka.ru/spravka-po-forme-7-cherez-mfc.html
21,Справки и выписки,Справки и выписки,Справка об остатке маткапитала,https://mfc-spravka.ru/spravka-ob-ostatke-materinskogo-kapitala-cherez-mfc.html
22,Справки и выписки,Справки и выписки,Справка – очередь на жилье,https://mfc-spravka.ru/spravka-ob-ocherednosti-predostavleniya-zhilya-cherez-mfc.html
23,Справки и выписки,Справки и выписки,Справка на социальную стипендию,https://mfc-spravka.ru/spravka-na-socialnuyu-stipendiyu-cherez-mfc.html
24,Справки и выписки,Справки и выписки,Справка о составе семьи,https://mfc-spravka.ru/spravka-o-sostave-semi-cherez-mfc.html
25,Справки и выписки,Справки и выписки,Справка об отсутствии судимости,https://mfc-spravka.ru/spravka-ob-otsutstvii-sudimosti-v-mfc.html
26,Справки и выписки,Справки и выписки,Справка о размере пенсии,https://mfc-spravka.ru/spravka-o-razmere-pensii-cherez-mfc.html
27,Справки и выписки,Справки и выписки,Справка о наркотиках,https://mfc-spravka.ru/spravka-o-narkotikax-cherez-mfc.html
28,Справки и выписки,Справки и выписки,Справка о ранее выданных паспортах,https://mfc-spravka.ru/spravka-o-ranee-vydannyx-pasportax-cherez-mfc.html
29,Справки и выписки,Справки и выписки,Справка о доходах,https://mfc-spravka.ru/spravka-o-doxodax-v-mfc.html
30,Справки и выписки,Справки и выписки,Справка – долги по коммуналке,https://mfc-spravka.ru/spravka-ob-otsutstvii-zadolzhennosti-po-kommunalnym-platezham-cherez-mfc.html
31,Справки и выписки,Справки и выписки,Справка – неполучение детского пособия,https://mfc-spravka.ru/spravka-o-nepoluchenii-posobiya-pri-rozhdenii-rebenka-cherez-mfc.html
32,Семья и дети,Семья и дети,Оформление детских пособий,https://mfc-spravka.ru/detskoe-posobie-v-mfc.html
33,Семья и дети,Семья и дети,Оформление материнского капитала,https://mfc-spravka.ru/kak-oformit-materinskij-kapital-cherez-mfc.html
34,Семья и дети,Семья и дети,Распоряжение маткапиталом,https://mfc-spravka.ru/rasporyazhenie-materinskim-kapitalom-cherez-mfc.html
35,Семья и дети,Семья и дети,Запись в детский сад,https://mfc-spravka.ru/zapis-v-detskij-sad-cherez-mfc.html
36,Семья и дети,Семья и дети,Запись ребенка в школу,https://mfc-spravka.ru/zapis-v-shkolu-v-mfc.html
37,Семья и дети,Семья и дети,Сертификат в лагерь,https://mfc-spravka.ru/certifikat-v-lager-v-mfc.html
38,Семья и дети,Семья и дети,Свидетельство о рождении,https://mfc-spravka.ru/svidetelstvo-o-rozhdenii-v-mfc.html
39,Семья и дети,Семья и дети,Свидетельство о смерти,https://mfc-spravka.ru/svidetelstvo-o-smerti-v-mfc.html
40,Семья и дети,Семья и дети,Удостоверение многодетной семьи,https://mfc-spravka.ru/udostoverenie-mnogodetnoj-semi-v-mfc.html
41,Семья и дети,Семья и дети,Подача на алименты,https://mfc-spravka.ru/podat-na-alimenty-v-mfc.html
42,Семья и дети,Семья и дети,Регистрация брака,https://mfc-spravka.ru/zayavlenie-v-zags-cherez-mfc.html
43,Семья и дети,Семья и дети,Расторжение брака,https://mfc-spravka.ru/razvod-cherez-mfc.html
44,Семья и дети,Семья и дети,Дубликат свидетельства о браке,https://mfc-spravka.ru/dublikat-svidetelstva-o-brake-v-mfc.html
45,Семья и дети,Семья и дети,Дубликат свидетельства о раст. брака,https://mfc-spravka.ru/dublikat-svidetelstva-o-rastorzhenii-braka-cherez-mfc.html
46,Семья и дети,Семья и дети,Дубликат свидетельства о рождении,https://mfc-spravka.ru/dublikat-svidetelstva-o-rozhdenii-v-mfc.html
47,Семья и дети,Семья и дети,Дубликат свидетельства о смерти,https://mfc-spravka.ru/dublikat-svidetelstva-o-smerti-v-mfc.html
48,Семья и дети,Семья и дети,Замена документов после замужества,https://mfc-spravka.ru/zamena-dokumentov-v-mfc.html
49,Семья и дети,Семья и дети,Смена фамилии,https://mfc-spravka.ru/smena-familii-v-mfc.html
50,Социальные услуги,Социальные услуги,Оформление пенсии по возрасту,https://mfc-spravka.ru/pensiya-po-starosti-cherez-mfc.html
51,Социальные услуги,Социальные услуги,Оформление пенсии по инвалидности,https://mfc-spravka.ru/pensiya-po-invalidnosti-cherez-mfc.html
52,Социальные услуги,Социальные услуги,Оформление пенсии по потере кормильца,https://mfc-spravka.ru/pensiya-po-potere-kormilca-cherez-mfc.html
53,Социальные услуги,Социальные услуги,Перерасчет пенсии,https://mfc-spravka.ru/pereraschet-pensii-cherez-mfc.html
54,Социальные услуги,Социальные услуги,Перевод пенсии на карту,https://mfc-spravka.ru/perevod-pensii-na-kartu-cherez-mfc.html
55,Социальные услуги,Социальные услуги,Получение пенсионного удостоверения,https://mfc-spravka.ru/pensionnoe-udostoverenie-v-mfc.html
56,Социальные услуги,Социальные услуги,Пособие на погребение,https://mfc-spravka.ru/posobie-na-pogrebenie-v-mfc.html
57,Социальные услуги,Социальные услуги,Пособие при поствакцинальных осложн.,https://mfc-spravka.ru/posobie-pri-vozniknovenii-postvakcinalnyx-oslozhnenij-cherez-mfc.html
58,Социальные услуги,Социальные услуги,Пособие по безработице,https://mfc-spravka.ru/posobie-po-bezrabotice-v-mfc.html
59,Социальные услуги,Социальные услуги,Удостоверение инвалида ВОВ,https://mfc-spravka.ru/udostoverenie-invalida-vov-v-mfc.html
60,Социальные услуги,Социальные услуги,Оформление звания “ветеран труда”,https://mfc-spravka.ru/oformlenie-zvaniya-veteran-truda-v-mfc.html
61,Социальные услуги,Социальные услуги,Медаль “Ветеран боевых действий”,https://mfc-spravka.ru/veteran-boevyx-dejstvij-v-mfc.html
62,Социальные услуги,Социальные услуги,Социальная карта пенсионера,https://mfc-spravka.ru/socialnaya-karta-pensionera-cherez-mfc.html
63,Социальные услуги,Социальные услуги,Социальная карта студента,https://mfc-spravka.ru/socialnaya-karta-studenta-cherez-mfc.html
64,Социальные услуги,Социальные услуги,Социальная карта учащегося,https://mfc-spravka.ru/socialnaya-karta-uchashhegosya-cherez-mfc.html
65,Социальные услуги,Социальные услуги,Детская карта в СПб,https://mfc-spravka.ru/oformlenie-detskoj-karty-cherez-mfc.html
66,Социальные услуги,Социальные услуги,Социальная карта москвича,https://mfc-spravka.ru/oformlenie-socialnoj-karty-moskvicha-v-mfc.html
67,Социальные услуги,Социальные услуги,Замена социальной карты москвича,https://mfc-spravka.ru/zamena-karty-moskvicha-cherez-mfc.html
68,Социальные услуги,Социальные услуги,Пособие малоимущей семье,https://mfc-spravka.ru/oformlenie-posobiya-maloimushhim-semyam-cherez-mfc.html
69,Социальные услуги,Социальные услуги,Материальная помощь,https://mfc-spravka.ru/materialnaya-pomoshh-maloimushhim-cherez-mfc.html
70,Транспорт и вождение,Транспорт и вождение,Замена водительского удостоверения,https://mfc-spravka.ru/zamena-prav-v-mfc.html
71,Транспорт и вождение,Транспорт и вождение,Получение международных прав,https://mfc-spravka.ru/kak-poluchit-mezhdunarodnye-prava-cherez-mfc.html
72,Транспорт и вождение,Транспорт и вождение,Замена прав на маломерное судно,https://mfc-spravka.ru/zamena-prav-na-malomernoe-sudno-v-mfc.html
73,Транспорт и вождение,Транспорт и вождение,Удостоверение тракториста-машиниста,https://mfc-spravka.ru/zamena-udostovereniya-traktorista-mashinista-v-mfc.html
74,Транспорт и вождение,Транспорт и вождение,Оплата штрафов ГИБДД,https://mfc-spravka.ru/kak-oplatit-shtraf-gibdd-v-mfc.html
75,Транспорт и вождение,Транспорт и вождение,Оформление инвалидности на авто,https://mfc-spravka.ru/poluchit-znak-invalid-na-avtomobil-v-mfc.html
76,Транспорт и вождение,Транспорт и вождение,Регистрация автомобиля,https://mfc-spravka.ru/registraciya-avtomobilya-v-mfc.html
77,Транспорт и вождение,Транспорт и вождение,Снятие автомобиля с учета,https://mfc-spravka.ru/mozhno-li-snyat-s-ucheta-mashinu-v-mfc.html
78,Транспорт и вождение,Транспорт и вождение,Получение полиса ОСАГО,https://mfc-spravka.ru/polis-osago-v-mfc.html
79,Транспорт и вождение,Транспорт и вождение,Замена ПТС,https://mfc-spravka.ru/zamena-pts-v-mfc.html
80,Транспорт и вождение,Транспорт и вождение,Замена свидетельства о регистрации ТС,https://mfc-spravka.ru/zamena-svidetelstva-o-registracii-ts-v-mfc.html
81,Транспорт и вождение,Транспорт и вождение,Карта водителя для тахографа,https://mfc-spravka.ru/karta-voditelya-cherez-mfc.html
82,Здоровье,Здоровье,Запись на прием к врачу,https://mfc-spravka.ru/zapis-k-vrachu-cherez-mfc.html
83,Здоровье,Здоровье,Получение полиса ОМС,https://mfc-spravka.ru/polis-oms-v-mfc.html
84,Здоровье,Здоровье,Прикрепление к поликлинике,https://mfc-spravka.ru/prikreplenie-k-poliklinike-cherez-mfc.html
85,Здоровье,Здоровье,Санаторно-курортное лечение,https://mfc-spravka.ru/putevka-v-sanatorij-cherez-mfc.html
86,Здоровье,Здоровье,Прививка от гриппа,https://mfc-spravka.ru/privivka-ot-grippa-v-mfc.html
87,Здоровье,Здоровье,Оформление инвалидности,https://mfc-spravka.ru/oformlenie-invalidnosti-cherez-mfc.html
88,Прописка и гражданство,Прописка и гражданство,Снятие с регистрационного учета,https://mfc-spravka.ru/kak-vypisatsya-iz-kvartiry-cherez-mfc.html
89,Прописка и гражданство,Прописка и гражданство,Оформление прописки,https://mfc-spravka.ru/propiska-cherez-mfc.html
90,Прописка и гражданство,Прописка и гражданство,Регистрация иностранца по месту пребывания,https://mfc-spravka.ru/registraciya-inostranca-po-mestu-prebyvaniya-v-mfc.html
91,Прописка и гражданство,Прописка и гражданство,Гражданство,https://mfc-spravka.ru/grazhdanstvo-v-mfc.html
92,Прописка и гражданство,Прописка и гражданство,РВП и вид на жительство,https://mfc-spravka.ru/rvp-v-mfc.html
93,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Замена паспорта в 20 и 45 лет,https://mfc-spravka.ru/zamena-pasporta-v-mfc-v-20-i-45-let.html
94,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Получение паспорта в 14 лет,https://mfc-spravka.ru/kak-poluchit-pasport-v-14-let-v-mfc.html
95,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Вписать ребенка в паспорт,https://mfc-spravka.ru/vpisat-rebenka-v-pasport-v-mfc.html
96,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Временное удостоверение личности,https://mfc-spravka.ru/vremennoe-udostoverenie-lichnosti-v-mfc.html
97,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Оформление загранпаспорта,https://mfc-spravka.ru/kak-oformit-zagranpasport-cherez-mfc.html
98,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Загранпаспорт для ребенка,https://mfc-spravka.ru/kak-oformit-zagranpasport-rebenku-cherez-mfc.html
99,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Вписать ребенка в загранпаспорт,https://mfc-spravka.ru/kak-vpisat-rebenka-v-zagranpasport-cherez-mfc.html
100,Паспорт РФ и загранпаспорт,Паспорт РФ и загранпаспорт,Оформление визы,https://mfc-spravka.ru/viza-cherez-mfc.html
101,ИНН и СНИЛС,ИНН и СНИЛС,Оформление СНИЛС,https://mfc-spravka.ru/poluchit-snils-v-mfc.html
102,ИНН и СНИЛС,ИНН и СНИЛС,Получение СНИЛС на ребенка,https://mfc-spravka.ru/kak-poluchit-snils-na-rebenka-cherez-mfc.html
103,ИНН и СНИЛС,ИНН и СНИЛС,Восстановление СНИЛС при утере,https://mfc-spravka.ru/kak-vosstanovit-snils-cherez-mfc.html
104,ИНН и СНИЛС,ИНН и СНИЛС,Поменять СНИЛС при смене фамилии,https://mfc-spravka.ru/kak-pomenyat-snils-pri-smene-familii-cherez-mfc.html
105,ИНН и СНИЛС,ИНН и СНИЛС,Получение ИНН,https://mfc-spravka.ru/kak-poluchit-inn-v-mfc.html
106,ИНН и СНИЛС,ИНН и СНИЛС,Восстановление ИНН,https://mfc-spravka.ru/vosstanovit-inn-v-mfc.html
107,ИНН и СНИЛС,ИНН и СНИЛС,Поменять ИНН при смене фамилии,https://mfc-spravka.ru/kak-pomenyat-inn-pri-smene-familii-cherez-mfc.html
108,Разрешения и лицензии,Разрешения и лицензии,Разрешение на оружие,https://mfc-spravka.ru/razreshenie-na-oruzhie-cherez-mfc.html
109,Разрешения и лицензии,Разрешения и лицензии,Лицензия на оружие,https://mfc-spravka.ru/licenziya-na-oruzhie-cherez-mfc.html
110,Разрешения и лицензии,Разрешения и лицензии,Охотничий билет,https://mfc-spravka.ru/kak-poluchit-oxotnichij-bilet-v-mfc.html
111,Разрешения и лицензии,Разрешения и лицензии,Путевка на охоту,https://mfc-spravka.ru/kak-poluchit-putevku-na-oxotu-cherez-mfc.html
112,Разрешения и лицензии,Разрешения и лицензии,Лицензия на алкоголь,https://mfc-spravka.ru/licenziya-na-alkogol-cherez-mfc.html
113,Разрешения и лицензии,Разрешения и лицензии,Лицензия на такси,https://mfc-spravka.ru/licenziya-na-taksi-cherez-mfc.html
114,Разрешения и лицензии,Разрешения и лицензии,Получение порубочного билета,https://mfc-spravka.ru/poluchenie-porubochnogo-bileta-cherez-mfc.html
115,Налоги и бизнес,Налоги и бизнес,Уплата налогов,https://mfc-spravka.ru/uplata-nalogov-v-mfc.html
116,Налоги и бизнес,Налоги и бизнес,Узнать задолженность по налогам,https://mfc-spravka.ru/kak-uznat-zadolzhennost-po-nalogam-v-mfc.html
117,Налоги и бизнес,Налоги и бизнес,Подача декларации 3-НДФЛ,https://mfc-spravka.ru/deklaraciya-3-ndfl-cherez-mfc.html
118,Налоги и бизнес,Налоги и бизнес,Оформить налоговый вычет,https://mfc-spravka.ru/nalogovyj-vychet-cherez-mfc.html
119,Налоги и бизнес,Налоги и бизнес,Регистрация ИП,https://mfc-spravka.ru/registraciya-ip-cherez-mfc.html
120,Налоги и бизнес,Налоги и бизнес,Регистрация ООО,https://mfc-spravka.ru/registraciya-ooo-cherez-mfc.html
121,Налоги и бизнес,Налоги и бизнес,Закрытие ИП,https://mfc-spravka.ru/zakrytie-ip-cherez-mfc.html
122,Налоги и бизнес,Налоги и бизнес,Личный кабинет налогоплательщика,https://mfc-spravka.ru/lichnyj-kabinet-nalogoplatelshhika-cherez-mfc.html
